topic,week,avg_sentiment,volume
Stock Market,2016-09-05/2016-09-11,-0.9099,1
Stock Market,2016-10-24/2016-10-30,0.9722,1
Stock Market,2016-11-28/2016-12-04,-0.9153,1
Stock Market,2016-12-19/2016-12-25,0.9988,1
Stock Market,2017-01-23/2017-01-29,-0.1761,1
Stock Market,2017-05-08/2017-05-14,0.9875,1
Stock Market,2017-05-22/2017-05-28,0.9872,1
Stock Market,2017-06-26/2017-07-02,-0.1335,1
Stock Market,2017-10-23/2017-10-29,0.974,1
Stock Market,2017-11-06/2017-11-12,-0.8052,1
Stock Market,2017-12-18/2017-12-24,0.9376,1
Stock Market,2018-01-22/2018-01-28,0.995,1
Stock Market,2018-02-05/2018-02-11,-0.9138,1
Stock Market,2018-03-05/2018-03-11,0.9856,1
Stock Market,2018-04-02/2018-04-08,0.9588,1
Stock Market,2018-04-16/2018-04-22,0.128,1
Stock Market,2018-05-14/2018-05-20,-0.0262,1
Stock Market,2018-06-04/2018-06-10,0.9925,1
Stock Market,2018-06-18/2018-06-24,0.9663,1
Stock Market,2018-07-23/2018-07-29,0.999,1
Stock Market,2018-08-06/2018-08-12,0.7985,1
Stock Market,2018-08-13/2018-08-19,0.9939,1
Stock Market,2018-08-27/2018-09-02,-0.06410000000000005,2
Stock Market,2018-09-03/2018-09-09,0.8303,1
Stock Market,2018-10-22/2018-10-28,0.5423,1
Stock Market,2018-11-05/2018-11-11,0.98,1
Stock Market,2018-12-17/2018-12-23,0.0129,1
Stock Market,2019-01-07/2019-01-13,0.9231,1
Stock Market,2019-01-21/2019-01-27,-0.8674,1
Stock Market,2019-01-28/2019-02-03,0.9643,1
Stock Market,2019-04-15/2019-04-21,0.9201,1
Stock Market,2019-05-06/2019-05-12,0.4588,1
Stock Market,2019-06-03/2019-06-09,-0.0516,1
Stock Market,2019-07-22/2019-07-28,-0.8442,1
Stock Market,2019-08-19/2019-08-25,0.9936,1
Stock Market,2019-11-18/2019-11-24,-0.1677,1
Stock Market,2019-12-16/2019-12-22,0.9623,1
Stock Market,2020-01-06/2020-01-12,0.34,1
Stock Market,2020-01-20/2020-01-26,0.9929,1
Stock Market,2020-02-03/2020-02-09,0.6594,2
Stock Market,2020-03-02/2020-03-08,0.7555,1
Stock Market,2020-04-13/2020-04-19,0.9973,1
Stock Market,2020-04-20/2020-04-26,-0.9814,1
Stock Market,2020-05-11/2020-05-17,0.9842,1
Stock Market,2020-08-17/2020-08-23,-0.973,1
Stock Market,2020-10-26/2020-11-01,0.9643,1
Stock Market,2020-12-07/2020-12-13,0.9083,1
Stock Market,2021-01-11/2021-01-17,0.987,1
Stock Market,2021-03-01/2021-03-07,0.0636,1
Stock Market,2021-03-08/2021-03-14,0.382,2
Stock Market,2021-03-15/2021-03-21,0.7351,1
Stock Market,2021-04-12/2021-04-18,0.9913,1
Stock Market,2021-05-03/2021-05-09,0.97005,2
